,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
247,sao joao da barra,BR,2021-01-13 15:21:03,-21.6403,-41.0511,0,58,84.46999999999997,9.26
248,leningradskiy,RU,2021-01-13 15:20:35,69.3833,178.4167,100,88,-13.305999999999976,3.65
249,banda aceh,ID,2021-01-13 15:27:31,5.5577,95.3222,100,83,77.95399999999995,4.88
250,manaus,BR,2021-01-13 15:27:31,-3.1019,-60.025,75,83,80.86999999999996,4.63
251,netanya,IL,2021-01-13 15:27:31,32.3329,34.8599,20,72,67.26199999999996,3.6
252,saleaula,,,,,,,,
253,arzgir,RU,2021-01-13 15:26:06,45.3728,44.2206,100,94,43.51999999999996,5.53
254,toliary,,,,,,,,
255,lere,NG,2021-01-13 15:27:32,10.387,8.5726,0,23,67.81999999999996,2.61
256,lorengau,PG,2021-01-13 15:20:11,-2.0226,147.2712,100,76,82.38200000000002,4.24
257,whyalla,AU,2021-01-13 15:27:32,-33.0333,137.5833,40,68,64.66999999999996,5.66
258,bumbuna,SL,2021-01-13 15:27:32,9.05,-11.7333,0,50,79.05199999999998,1.28
259,grand gaube,MU,2021-01-13 15:22:35,-20.0064,57.6608,3,81,78.27799999999996,1.34
260,houma,US,2021-01-13 15:27:32,29.5958,-90.7195,1,41,60.27799999999996,2.06
261,juazeiro,BR,2021-01-13 15:27:32,-9.4117,-40.4986,20,58,86.26999999999995,2.06
262,bethel,US,2021-01-13 15:20:03,41.3712,-73.414,90,56,37.66999999999996,1.54
263,porosozero,RU,2021-01-13 15:27:32,62.7191,32.727,100,90,-12.100000000000001,3.17
264,sao filipe,CV,2021-01-13 15:16:22,14.8961,-24.4956,35,72,72.59000000000003,5.81
265,tocopilla,CL,2021-01-13 15:20:15,-22.092,-70.1979,100,59,73.058,5.1
266,tautira,PF,2021-01-13 15:27:32,-17.7333,-149.15,40,70,84.46999999999997,1.54
267,christchurch,NZ,2021-01-13 15:25:57,-43.5333,172.6333,90,88,69.27799999999996,5.14
268,la ronge,CA,2021-01-13 15:27:33,55.1001,-105.2842,100,80,23.26999999999996,2.06
269,boddam,GB,2021-01-13 15:27:33,57.4667,-1.7833,90,93,34.06999999999996,0.51
270,ewa beach,US,2021-01-13 15:18:23,21.3156,-158.0072,20,61,80.86999999999996,4.63
271,bambous virieux,MU,2021-01-13 15:16:02,-20.3428,57.7575,75,94,78.27799999999996,1.03
272,niono,ML,2021-01-13 15:27:33,14.2526,-5.993,0,15,78.72799999999997,4.38
273,buraydah,SA,2021-01-13 15:17:50,26.326,43.975,0,66,53.86999999999996,2.06
274,kichera,RU,2021-01-13 15:20:41,55.9375,110.0997,81,78,-17.266000000000012,1.13
275,saint-augustin,CA,2021-01-13 15:27:33,51.226,-58.6502,7,90,20.840000000000018,1.84
276,bud,US,2021-01-13 15:20:26,39.447,-86.1758,100,65,46.274000000000015,4.89
277,lar gerd,,,,,,,,
278,tunceli,TR,2021-01-13 15:27:33,39.1083,39.5471,75,43,52.069999999999965,9.26
279,doba,TD,2021-01-13 15:27:34,8.65,16.85,82,17,77.19800000000004,1.61
280,cidreira,BR,2021-01-13 15:20:12,-30.1811,-50.2056,40,70,73.50800000000001,6.36
281,tambopata,PE,2021-01-13 15:27:34,-12.7333,-69.1833,75,94,79.06999999999996,1.54
282,rongu,,,,,,,,
283,yongzhou,CN,2021-01-13 15:27:34,26.4559,111.5988,75,48,49.49600000000005,0.56
284,inhambane,MZ,2021-01-13 15:22:57,-23.865,35.3833,20,83,80.86999999999996,2.06
285,sinop,TR,2021-01-13 15:26:10,41.7711,34.8709,100,87,39.23599999999997,2.1
286,linhares,BR,2021-01-13 15:27:34,-19.3911,-40.0722,4,63,82.58000000000004,3.96
287,hihifo,,,,,,,,
288,kloulklubed,PW,2021-01-13 15:16:34,7.0419,134.2556,75,89,79.06999999999996,2.06
289,ammon,US,2021-01-13 15:27:34,43.4696,-111.9666,90,81,43.26799999999999,13.38
290,mugur-aksy,RU,2021-01-13 15:27:34,50.35,90.5,100,82,-3.17199999999999,2.86
291,aden,YE,2021-01-13 15:22:53,12.7794,45.0367,0,62,75.61400000000003,4.49
292,sobolevo,RU,2021-01-13 15:27:35,54.4299,31.8996,100,97,18.42799999999996,6.16
